,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
4311,Tisha Luc aka:Joy Dulantzi,@wazzap1229,2021-06-13T01:05:47.000Z,"Tisha Luc aka:Joy Dulantzi
@wazzap1229
¶ú
12 jun. 2021","""BENITO JUÇREZ, ejemplo ASPIRACIONAL"" para los MEXICANOS.",,,2,4,['https://pbs.twimg.com/profile_images/1647030506595434496/FxdfmTLl_normal.jpg'],https://twitter.com/wazzap1229/status/1403881248108552196
4312,Alfredo Barragan,@fredyjoal,2021-06-13T00:18:34.000Z,"Alfredo Barragan
@fredyjoal
¶ú
12 jun. 2021","En respuesta a 
@ZMyBerg
 y 
@RudoVisionTV",,1,1,3,[],https://twitter.com/fredyjoal/status/1403869368979689478
4313,Arturo Rosas,@SoyChairini,2021-06-13T19:08:51.000Z,"Arturo Rosas
@SoyChairini
¶ú
13 jun. 2021","(6/7)
18. CreaciÇün de la Guardia Nacional.
19. CreaciÇün del Banco del Bienestar.
20. CreaciÇün de la Universidad Benito JuÇ­rez.
21. CreaciÇün de la RefinerÇğa Dos Bocas que genera 34,000 empleos.
22. CreaciÇün del Aeropuerto de Santa LucÇğa que genera 30,204 empleos.",,2,15,22,[],https://twitter.com/SoyChairini/status/1404153813343391749
4314,RenÇ¸ Camacho MarÇğn,@rene_camacho_,2021-06-13T00:02:00.000Z,"RenÇ¸ Camacho MarÇğn
@rene_camacho_
¶ú
12 jun. 2021","Entonces ya no hay razÇün de las becas Benito JuÇ­rez ni el programa JÇüvenes Constituyendo el Futuro, estÇ­n promoviendo la ambiciÇün...",,,2,3,[],https://twitter.com/rene_camacho_/status/1403865196993654786
4315,ARA,@ConejaRico,2021-06-13T20:52:50.000Z,"ARA
@ConejaRico
¶ú
13 jun. 2021","Respondiendo a 
@SacmexCDMX
 @En_Narvarte
 y 4 mÇ­s",,,,3,[],https://twitter.com/ConejaRico/status/1404179981815668739
4316,anni,@anshin01,2021-06-13T14:45:51.000Z,"anni
@anshin01
¶ú
13 jun. 2021","Dijeron 36 horas reducciÇün de agua en fin de semana y sucediÇü desde el miÇ¸rcoles, y ayer y hoy no hay gota de agua!!!! Alcaldia Benito Juarez.",,,1,5,[],https://twitter.com/anshin01/status/1404087627733561357
4317,oscachanilla,@oscarbohidratos,2021-06-13T22:48:56.000Z,"oscachanilla
@oscarbohidratos
¶ú
13 jun. 2021",Cada q paso x el caliente q estÇ­ en independencia y Benito JuÇ­rez o tmb el del puente pando donde estÇ­ el burguer king,Ğ?¾§,,,1,['https://pbs.twimg.com/profile_images/1626151728860258309/DcPFXhft_normal.jpg'],https://twitter.com/oscarbohidratos/status/1404209198229909507
4318,Pepesanmartin,@pepesanmartinj,2021-06-13T01:42:43.000Z,"Pepesanmartin
@pepesanmartinj
¶ú
12 jun. 2021","En respuesta a 
@arr1910
 y 
@lopezobrador_",,,1,6,[],https://twitter.com/pepesanmartinj/status/1403890543193636864
4319,Metallus Duende,@metallusduende,2021-06-13T18:36:38.000Z,"Metallus Duende
@metallusduende
¶ú
13 jun. 2021","En respuesta a 
@GobCDMX",,4,,11,[],https://twitter.com/metallusduende/status/1404145703698538500
4320,Chris Ponce,@CrisCat55,2021-06-13T23:29:48.000Z,"Chris Ponce
@CrisCat55
¶ú
13 jun. 2021","En respuesta a 
@AngelVerdugoB
 y 
@SinEmbargoMX",,1,1,18,[],https://twitter.com/CrisCat55/status/1404219481363206144
4321,TesorerÇğa Municipal,@tesoreriaVa,2021-06-13T14:11:26.000Z,"TesorerÇğa Municipal
@tesoreriaVa
¶ú
13 jun. 2021","13 de Junio:

DÇğa Internacional de SensibilizaciÇün sobre el Albinismo.

DÇğa Europeo de la PrevenciÇün del CÇ­ncer de Piel.

1622 Se inunda la Ciudad de MÇ¸xico.

1859 El Presidente Benito JuÇ­rez declara propiedad nacional todos los bienes de la iglesia catÇülica.",,1,1,1,['https://pbs.twimg.com/media/E3xKYKHWYAIBcgk?format=jpg&name=small'],https://twitter.com/tesoreriaVa/status/1404078965623451652
4322,BjÇôrn JÇôrgensen,@Ave_Fenix007,2021-06-13T01:28:16.000Z,"BjÇôrn JÇôrgensen
@Ave_Fenix007
¶ú
12 jun. 2021","Esa privatizaciÇün del aviÇün  presidencial Benito JuÇ­rez, no la hicieron ni los neoliberales de antes.

Vamos... Ni siquiera el chupacabras tuvo semejante atrevimiento.",Ğ??ª,,1,1,[],https://twitter.com/Ave_Fenix007/status/1403886910142136322
4323,hayetti,@nohaydepia,2021-06-13T04:17:43.000Z,"hayetti
@nohaydepia
¶ú
12 jun. 2021","En respuesta a 
@MorenaCiudadMex",,,2,2,[],https://twitter.com/nohaydepia/status/1403929552359931909
4324,MiroslÇ¾va ƒ??,@Miroslvva,2021-06-13T19:45:21.000Z,"MiroslÇ¾va ƒ??
@Miroslvva
¶ú
13 jun. 2021","Un dÇğa fui a Cadereyta por error (y digo por error por quÇ¸ sÇülo seguÇğamos las nubes manejando, no tenÇğamos intenciÇün de llegar a ningÇ§n lado en especÇğfico) y en la plaza central habÇğa un trip de Benito JuÇ­rez en una estatua con una placa agradeciÇ¸ndole a una logia  https://twitter.com/_radioredhead/status/1404002596768161793ƒ?İ",Ğ??¯ Ğ??? Ğ??? Ğ??? Ğ??ü,2,,5,[],https://twitter.com/Miroslvva/status/1404162998088998920
